incident_key,occur_date,occur_time,boro,loc_of_occur_desc,precinct,perp_age_group,perp_sex,vic_age_group,vic_sex
298699604,12/31/2024,19:16:00,BROOKLYN,OUTSIDE,69,25-44,M,18-24,M
298699604,12/31/2024,19:16:00,BROOKLYN,OUTSIDE,69,25-44,M,25-44,M
298672096,12/30/2024,16:45:00,BRONX,OUTSIDE,47,(null),(null),18-24,M
298672094,12/30/2024,12:15:00,BRONX,OUTSIDE,52,45-64,M,25-44,M
298672097,12/30/2024,18:48:00,BROOKLYN,OUTSIDE,60,25-44,M,45-64,M
298672096,12/30/2024,16:45:00,BRONX,OUTSIDE,47,(null),(null),25-44,F
298672095,12/30/2024,20:32:00,BRONX,INSIDE,41,18-24,M,25-44,M
298672096,12/30/2024,16:45:00,BRONX,OUTSIDE,47,(null),(null),<18,F
298628070,12/29/2024,16:21:00,BRONX,OUTSIDE,43,18-24,M,<18,M
298628071,12/29/2024,17:24:00,MANHATTAN,OUTSIDE,23,(null),(null),25-44,M
298609064,12/28/2024,15:30:00,BROOKLYN,OUTSIDE,73,(null),(null),25-44,F
298609064,12/28/2024,15:30:00,BROOKLYN,OUTSIDE,73,(null),(null),18-24,M
298607139,12/28/2024,2:53:00,MANHATTAN,INSIDE,18,25-44,M,25-44,M
298607139,12/28/2024,2:53:00,MANHATTAN,INSIDE,18,18-24,F,25-44,M
298569109,12/27/2024,20:40:00,BROOKLYN,OUTSIDE,61,(null),(null),18-24,M
298566035,12/27/2024,20:42:00,BRONX,OUTSIDE,40,<18,M,25-44,M
298566035,12/27/2024,20:42:00,BRONX,OUTSIDE,40,<18,M,25-44,M
298515632,12/26/2024,18:39:00,BRONX,INSIDE,52,(null),(null),18-24,M
298508438,12/26/2024,20:37:00,BRONX,OUTSIDE,40,18-24,M,18-24,M
298609065,12/25/2024,1:18:00,BRONX,INSIDE,44,45-64,M,25-44,M
298461889,12/25/2024,5:55:00,MANHATTAN,OUTSIDE,23,25-44,M,25-44,M
